имя;I_k, Па;f, Дж;k;T_p, К;ro, кг/м^3;alpha_k, м^3/кг;Z_k;k_1;lambda_1;k_2;lambda_2;k_I, 1/К;k_f, 1/К;
ДРП;1.0000e+05;2.6000e+05;1.2200e+00;2.4270e+03;1.7000e+03;6.0000e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;1.0000e-03;
КЗДП;1.0000e+05;2.6000e+05;1.2200e+00;2.4270e+03;1.7000e+03;6.0000e-04;1.0000e+00;1.0000e+00;0.0000e+00;0.0000e+00;0.0000e+00;3.0000e-03;2.0000e-03;
ВУ фл;1.5000e+05;1.0050e+06;1.2340e+00;2.8730e+03;1.6000e+03;1.0300e-03;1.0000e+00;1.7950e+00;-4.4290e-01;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
СФ 033;1.7000e+05;1.0470e+06;1.2360e+00;3.0000e+03;1.6000e+03;1.0390e-03;1.0000e+00;3.0900e-01;2.2362e+00;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
ВТ;2.2000e+05;9.9600e+05;1.2350e+00;2.8200e+03;1.6000e+03;1.0340e-03;1.0000e+00;1.7990e+00;-4.4414e-01;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
ВТМ;2.3000e+05;1.0110e+06;1.2360e+00;2.9300e+03;1.6000e+03;1.0170e-03;1.0000e+00;1.0940e+00;-8.5923e-02;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
5/1;2.5000e+05;1.0090e+06;1.2230e+00;2.9300e+03;1.6000e+03;1.0050e-03;1.0000e+00;1.0620e+00;-5.8380e-02;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
ВТХ-10;2.7000e+05;8.8200e+05;1.2560e+00;2.4400e+03;1.6000e+03;1.0270e-03;1.0000e+00;1.0860e+00;-7.9190e-02;0.0000e+00;0.0000e+00;2.2000e-03;7.0000e-04;
4/7 ПТ-3 фл;2.8000e+05;9.8800e+05;1.2370e+00;2.7900e+03;1.6000e+03;1.0380e-03;1.6710e+00;1.6300e-01;3.8400e+00;6.2915e-01;-7.0600e-01;1.6000e-03;3.0000e-04;
4/1;3.0000e+05;1.0140e+06;1.2210e+00;2.9700e+03;1.6000e+03;1.0010e-03;1.0000e+00;1.0700e+00;-6.5421e-02;0.0000e+00;0.0000e+00;1.6000e-03;3.0000e-04;
